task,total_instances,overlapping_instances,overlap_rate_pct,mean_similarity,ci_lower_pct,ci_upper_pct,overlap_rate
broverbs_mc_greedy,27,24,88.88888888888889,0.855240958708304,74.07407407407408,100.0,0.8888888888888888
tweetsentbr_greedy,500,385,77.0,0.8571066253185272,73.2,80.60000000000001,0.77
storycloze_pt_greedy,500,372,74.4,0.8565066084861755,70.6,78.2,0.7440000000000001
bigbench_pt_causal_judgment_greedy,190,139,73.15789473684211,0.8598889689696463,66.84210526315789,79.47368421052632,0.7315789473684211
bigbench_pt_analogical_similarity_greedy,300,217,72.33333333333334,0.8552083977063497,67.33333333333333,77.33333333333333,0.7233333333333334
mina_br_greedy,500,360,72.0,0.8578157097101211,68.0,76.0,0.72
wsc285_pt_greedy,285,198,69.47368421052632,0.852253980803908,64.21052631578948,74.73684210526315,0.6947368421052631
bigbench_pt_social_iqa_greedy,300,174,57.99999999999999,0.8520069169998169,52.666666666666664,63.66666666666667,0.58
bigbench_pt_bbq_greedy,500,275,55.00000000000001,0.8517476427555084,50.6,59.4,0.55
pt_hate_speech_greedy,500,274,54.800000000000004,0.851344982624054,50.4,59.199999999999996,0.548
broverbs_greedy,194,106,54.63917525773196,0.8510233636983892,47.42268041237113,61.855670103092784,0.5463917525773195
bigbench_pt_simple_ethical_questions_greedy,115,50,43.47826086956522,0.8474363109339839,34.78260869565217,52.17391304347826,0.43478260869565216
assin_sts_greedy,500,174,34.8,0.8458726241588592,30.599999999999998,39.0,0.348
assin_rte_greedy,500,172,34.4,0.8458551360368729,30.2,38.6,0.344
bigbench_pt_cause_and_effect_two_sentences_greedy,42,13,30.952380952380953,0.8458855748176575,16.666666666666664,45.23809523809524,0.30952380952380953
ethics_commonsense_greedy,216,50,23.14814814814815,0.8392280185664142,17.59259259259259,29.166666666666668,0.23148148148148148
gsm8k_mc_greedy,300,69,23.0,0.8431998576720555,18.333333333333332,28.000000000000004,0.23
enem_greedy,180,36,20.0,0.8331442842880885,14.444444444444443,26.111111111111114,0.2
enem_2022_greedy,180,36,20.0,0.8331501093175676,14.444444444444443,26.111111111111114,0.2
repro_greedy,500,85,17.0,0.8379764107465744,13.8,20.4,0.17
bluex_launch_version_,500,72,14.399999999999999,0.8306746343374253,11.4,17.599999999999998,0.144
mkqa_greedy,500,61,12.2,0.8271811696290969,9.4,15.2,0.122
bigbench_pt_empirical_judgments_greedy,39,4,10.256410256410255,0.8309536148340274,2.564102564102564,20.51282051282051,0.10256410256410256
bigbench_pt_formal_fallacies_syllogisms_negation_greedy,300,30,10.0,0.8365828494230906,6.666666666666667,13.333333333333334,0.1
logiqa_greedy,300,30,10.0,0.8303950744867324,6.666666666666667,13.333333333333334,0.1
bigbench_pt_strategyqa_greedy,216,20,9.25925925925926,0.8304049323002497,5.555555555555555,12.962962962962962,0.0925925925925926
balanced_copa_greedy,300,15,5.0,0.8361598628759385,2.666666666666667,7.666666666666666,0.05
arc_challenge_greedy_pt,500,22,4.3999999999999995,0.8272453775405884,2.8000000000000003,6.2,0.044
bigbench_pt_vitaminc_fact_verification_greedy,300,13,4.333333333333334,0.8264204482237498,2.3333333333333335,6.666666666666667,0.04333333333333334
arc_easy_greedy_pt,500,18,3.5999999999999996,0.82644881939888,2.0,5.4,0.036
math_mc_greedy,281,10,3.558718861209965,0.8260961995854497,1.4234875444839856,5.6939501779359425,0.03558718861209965
agieval_sat_math_greedy,218,5,2.293577981651376,0.8253853433175918,0.45871559633027525,4.587155963302752,0.022935779816513763
faquad_greedy,500,11,2.1999999999999997,0.8143323969841003,1.0,3.5999999999999996,0.022
inferbr_greedy,500,7,1.4000000000000001,0.8263689708709717,0.4,2.6,0.014000000000000002
bigbench_pt_mathematical_induction_greedy,68,0,0.0,0.8280200292082394,0.0,0.0,0.0
bigbench_pt_code_line_description_greedy,44,0,0.0,0.762231478636915,0.0,0.0,0.0
bigbench_pt_general_knowledge_greedy,14,0,0.0,0.8292470148631504,0.0,0.0,0.0
