task,instance_id,similarity,query_preview,matched_preview
bluex_launch_version_,bluex_launch_version__328,0.8696,"Texto para a questão: Leusipo perguntou o que eu tinha ido fazer na aldeia. Preferi achar que o tom era amistoso e, no meu *paternalismo* ingênuo, comecei a lhe explicar o que era um romance. Eu tent","AMlGOS PARA SEMPRE AIguém escreveu: ""Todo ser vivo no mundo tem a proteção de um anjo."" E eu acredito muito nessa frase de sabedoria. Em um dia cIaro de verão... era um dos Iugares mais Iindos da terr"
bluex_launch_version_,bluex_launch_version__329,0.8631,"Como justificar que somos uma humanidade, se mais de 70% estão totalmente alienados do mínimo exercício de ser? A modernização jogou essa gente do campo e da floresta para viver em favelas e em per","O CIENTISTA OBSTINADO Há algum tempo, havia um jovem e brilhante cientista. Por meio de seu incomparável intelecto ele fez inúmeras contribuições para o mundo... Mas ele gradualmente perdia a esperanç"
mina_br_greedy,mina_br_greedy_1660,0.8585,"SÓ PRA COMEÇAR....QUE NOME É ESSE????? ISTO É NOME DE GENTE????.......SE FOR DE ALGUM ANIMAL POBREZINHO DO ANIMAL.......O NOME DELA É TÃO RIDÍCULO QUANTO ELA!!!!.........QUE IDIOTA, UM HOMEM NÃO PO","""O Planeta Selvagem"" Baseado na obra de Stefan Wul ""Oms en série"" Parou de mexer. Agora não podemos mais brincar com ela. Cuidado! O Mestre Sinh! Olha, Papai! Uma Om fêmea e seu bebê. Está morta? Infe"
pt_hate_speech_greedy,pt_hate_speech_greedy_4900,0.8578,RT @TonhoDrinks: A mídia virou realmente uma inimiga voraz de tudo que não é sua narrativa degenerada! Isso é um absurdo completo! https: _,"﻿1 Este é um fansub livre. Não para venda, aluguel, ou Ebay Eu sei, eu sei. Pequeno-almoço está pronto! Eu estou com fome! Peke! Levanta-te depressa! Manhã, Rito! Lala! Eu já não lhe disse para não an"
enem_greedy,enem_greedy_37,0.8574,"## Firmo, o vaqueiro Coelho Netto No dia seguinte, à hora em que saía o gado, estava eu debruçado à varanda quando vi o cafuzo que preparava o animal viajeiro: —Raimundinho, como vai ele?...De longe a","﻿1 Wow! Incrível! O que um belo mar! Yeah! Há um monte de ondas. O céu azul! Nuvens brancas! E eu, Tenjouin Saki! Bem-vindo, todos! Para a praia privada da família Tenjouin! Ouça-me! Apenas quem você"
enem_2022_greedy,enem_2022_greedy_37,0.8574,"## Firmo, o vaqueiro Coelho Netto No dia seguinte, à hora em que saía o gado, estava eu debruçado à varanda quando vi o cafuzo que preparava o animal viajeiro: —Raimundinho, como vai ele?...De longe a","﻿1 Wow! Incrível! O que um belo mar! Yeah! Há um monte de ondas. O céu azul! Nuvens brancas! E eu, Tenjouin Saki! Bem-vindo, todos! Para a praia privada da família Tenjouin! Ouça-me! Apenas quem você"
bluex_launch_version_,bluex_launch_version__1406,0.8557,"Chega um momento em que a tensão eu/mundo se exprime mediante uma perspectiva crítica, imanente à escrita, o que torna o romance não mais uma variante literária da rotina social, mas o seu avesso;","Sabe, muitas coisas mudaram na minha vida no último ano. Suzanne e eu nos casamos. E ela e as crianças mudaram para o meu apartamento. A minha pequena casa. Mas isso não é tudo, resolvi proseguir o me"
storycloze_pt_greedy,storycloze_pt_greedy_316,0.8548,As crianças estavam muito entusiasmadas com o Natal. Eles têm sido bons o ano todo. Eles enviaram uma carta ao Papai Noel. Papai Noel respondeu pelo correio.,"﻿1 VIAJANTES NO TEMPO: RESTAM 331 DIAS DE COMPRAS ATÉ O NATAL PASSADO É o Natal Espetacular de Futurama, um oferecimento de... Nozes sem casca Gunderson! Ah, época de Natal. quem quer deliciosas nozes"
assin_rte_greedy,assin_rte_greedy_2284,0.8545,Alguém está mexendo macarrão na água Ninguém está mexendo macarrão na água,Equipe AceSubs lucasvsribeiro rafalvp BlueMeth LikaPoetisa Monk A MENINA SEM MÃOS Você está com fome? Você não tem pão? Não tenho pão nem água. Minha bolsa está tão vazia quanto o rio. Eu encho sua bo
assin_sts_greedy,assin_sts_greedy_2284,0.8545,Alguém está mexendo macarrão na água Ninguém está mexendo macarrão na água,Equipe AceSubs lucasvsribeiro rafalvp BlueMeth LikaPoetisa Monk A MENINA SEM MÃOS Você está com fome? Você não tem pão? Não tenho pão nem água. Minha bolsa está tão vazia quanto o rio. Eu encho sua bo
mina_br_greedy,mina_br_greedy_2070,0.8543,"Eu sou feio é magro mulheres não querem tenho 42 anos tenho amizade com mulheres. E muito com amiga minha .so que minha amiga .as veses, quando estamos conversando,eu mostro algo, no meu celular.ela e","Está você Não consigo acreditar. Desculpem-me, olá, isto é uma despedida de solteiras. Apenas mulheres. Obrigado. Está bem. Por que eles estão aqui, então? Se não para arruinar o casamento da Sophie."
mkqa_greedy,mkqa_greedy_1879,0.8539,em quais dos seguintes festivais de natal é comemorado no verão,"﻿1 VIAJANTES NO TEMPO: RESTAM 331 DIAS DE COMPRAS ATÉ O NATAL PASSADO É o Natal Espetacular de Futurama, um oferecimento de... Nozes sem casca Gunderson! Ah, época de Natal. quem quer deliciosas nozes"
bigbench_pt_simple_ethical_questions_greedy,bigbench_pt_simple_ethical_questions_greedy_96,0.8528,"Imagine que alguns dinossauros fossem sencientes. A uma profundidade de 5 km, cientistas humanos descobriram ruínas de uma grande cidade construída pelos dinossauros sencientes. Após muitos anos de pe","﻿1 Estamos vivendo a idade de ouro das descobertas de dinossauros. De todo o mundo, uma nova geração de dinossauros foram revelados. A partir dos maiores gigantes... .. E os assassinos mais mortais, p"
enem_greedy,enem_greedy_39,0.8516,"## Quarto de despejo: diário de uma favelada ### Carolina Maria de Jesus 10 de maio Fui na delegacia e falei com o tenente. Que homem amavel! Se eu soubesse que ele era tão amavel, eu teria ido na del","Bom dia, EUA! Sinto que será um dia maravilhoso O sol lá no céu tem um sorriso no rosto E está irradiando saudações à raça americana Como é bom dizer... Bom dia, EUA! Bom dia, EUA! Roger, está mexendo"
enem_2022_greedy,enem_2022_greedy_39,0.8516,"## Quarto de despejo: diário de uma favelada ### Carolina Maria de Jesus 10 de maio Fui na delegacia e falei com o tenente. Que homem amavel! Se eu soubesse que ele era tão amavel, eu teria ido na del","Bom dia, EUA! Sinto que será um dia maravilhoso O sol lá no céu tem um sorriso no rosto E está irradiando saudações à raça americana Como é bom dizer... Bom dia, EUA! Bom dia, EUA! Roger, está mexendo"
assin_rte_greedy,assin_rte_greedy_1476,0.8495,Alguém está mexendo macarrão na água Um homem está fervendo macarrão na água,Equipe AceSubs lucasvsribeiro rafalvp BlueMeth LikaPoetisa Monk A MENINA SEM MÃOS Você está com fome? Você não tem pão? Não tenho pão nem água. Minha bolsa está tão vazia quanto o rio. Eu encho sua bo
assin_sts_greedy,assin_sts_greedy_1476,0.8495,Alguém está mexendo macarrão na água Um homem está fervendo macarrão na água,Equipe AceSubs lucasvsribeiro rafalvp BlueMeth LikaPoetisa Monk A MENINA SEM MÃOS Você está com fome? Você não tem pão? Não tenho pão nem água. Minha bolsa está tão vazia quanto o rio. Eu encho sua bo
bluex_launch_version_,bluex_launch_version__793,0.8488,"Texto para a questão: Leusipo perguntou o que eu tinha ido fazer na aldeia. Preferi achar que o tom era amistoso e, no meu paternalismo ingênuo, comecei a lhe explicar o que era um romance. Eu tentav","AMlGOS PARA SEMPRE AIguém escreveu: ""Todo ser vivo no mundo tem a proteção de um anjo."" E eu acredito muito nessa frase de sabedoria. Em um dia cIaro de verão... era um dos Iugares mais Iindos da terr"
enem_greedy,enem_greedy_53,0.8485,"## TEXTO 1 Manda o Santo Ofício da Inquisição que ninguém, seja qual for seu estado, idade ou condição, pare com carroça, caleça ou montaria nem atrapalhe com mesas ou cadeiras o centro das ruas, que","﻿1 Wow! Incrível! O que um belo mar! Yeah! Há um monte de ondas. O céu azul! Nuvens brancas! E eu, Tenjouin Saki! Bem-vindo, todos! Para a praia privada da família Tenjouin! Ouça-me! Apenas quem você"
enem_2022_greedy,enem_2022_greedy_53,0.8485,"## TEXTO 1 Manda o Santo Ofício da Inquisição que ninguém, seja qual for seu estado, idade ou condição, pare com carroça, caleça ou montaria nem atrapalhe com mesas ou cadeiras o centro das ruas, que","﻿1 Wow! Incrível! O que um belo mar! Yeah! Há um monte de ondas. O céu azul! Nuvens brancas! E eu, Tenjouin Saki! Bem-vindo, todos! Para a praia privada da família Tenjouin! Ouça-me! Apenas quem você"
