task,baseline_rate_pct,candidate_rate_pct,delta_pp
broverbs_mc_greedy,0.0,88.88888888888889,88.88888888888889
tweetsentbr_greedy,0.0,77.0,77.0
storycloze_pt_greedy,0.0,74.4,74.4
bigbench_pt_causal_judgment_greedy,0.0,73.15789473684211,73.15789473684211
bigbench_pt_analogical_similarity_greedy,0.0,72.33333333333334,72.33333333333334
mina_br_greedy,0.0,72.0,72.0
wsc285_pt_greedy,0.0,69.47368421052632,69.47368421052632
bigbench_pt_social_iqa_greedy,0.0,57.99999999999999,57.99999999999999
bigbench_pt_bbq_greedy,0.0,55.00000000000001,55.00000000000001
pt_hate_speech_greedy,0.0,54.800000000000004,54.800000000000004
broverbs_greedy,0.0,54.63917525773196,54.63917525773196
bigbench_pt_simple_ethical_questions_greedy,0.0,43.47826086956522,43.47826086956522
assin_sts_greedy,0.0,34.8,34.8
assin_rte_greedy,0.0,34.4,34.4
bigbench_pt_cause_and_effect_two_sentences_greedy,0.0,30.952380952380953,30.952380952380953
ethics_commonsense_greedy,0.0,23.14814814814815,23.14814814814815
gsm8k_mc_greedy,0.0,23.0,23.0
enem_2022_greedy,0.0,20.0,20.0
enem_greedy,0.0,20.0,20.0
repro_greedy,0.0,17.0,17.0
bluex_launch_version_,0.0,14.399999999999999,14.399999999999999
mkqa_greedy,0.0,12.2,12.2
bigbench_pt_empirical_judgments_greedy,0.0,10.256410256410255,10.256410256410255
bigbench_pt_formal_fallacies_syllogisms_negation_greedy,0.0,10.0,10.0
logiqa_greedy,0.0,10.0,10.0
bigbench_pt_strategyqa_greedy,0.0,9.25925925925926,9.25925925925926
balanced_copa_greedy,0.0,5.0,5.0
arc_challenge_greedy_pt,0.0,4.3999999999999995,4.3999999999999995
bigbench_pt_vitaminc_fact_verification_greedy,0.0,4.333333333333334,4.333333333333334
arc_easy_greedy_pt,0.0,3.5999999999999996,3.5999999999999996
math_mc_greedy,0.0,3.558718861209965,3.558718861209965
agieval_sat_math_greedy,0.0,2.293577981651376,2.293577981651376
faquad_greedy,0.0,2.1999999999999997,2.1999999999999997
inferbr_greedy,0.0,1.4000000000000001,1.4000000000000001
bigbench_pt_code_line_description_greedy,0.0,0.0,0.0
bigbench_pt_general_knowledge_greedy,0.0,0.0,0.0
bigbench_pt_mathematical_induction_greedy,0.0,0.0,0.0
