task,total_instances,overlapping_instances,overlap_rate_pct,mean_similarity,ci_lower_pct,ci_upper_pct,overlap_rate
agieval_sat_math_greedy,218,0,0.0,0.439078467974969,0.0,0.0,0.0
arc_challenge_greedy_pt,500,0,0.0,0.47444903731346133,0.0,0.0,0.0
arc_easy_greedy_pt,500,0,0.0,0.47338714003562926,0.0,0.0,0.0
assin_rte_greedy,500,0,0.0,0.4792329941391945,0.0,0.0,0.0
assin_sts_greedy,500,0,0.0,0.4792329959273338,0.0,0.0,0.0
balanced_copa_greedy,300,0,0.0,0.4980929724375407,0.0,0.0,0.0
bigbench_pt_analogical_similarity_greedy,300,0,0.0,0.5164226226011912,0.0,0.0,0.0
bigbench_pt_bbq_greedy,500,0,0.0,0.5153000190854072,0.0,0.0,0.0
bigbench_pt_causal_judgment_greedy,190,0,0.0,0.5244306241211139,0.0,0.0,0.0
bigbench_pt_cause_and_effect_two_sentences_greedy,42,0,0.0,0.527097632487615,0.0,0.0,0.0
bigbench_pt_code_line_description_greedy,44,0,0.0,0.4681057963858951,0.0,0.0,0.0
bigbench_pt_empirical_judgments_greedy,39,0,0.0,0.5200362564661564,0.0,0.0,0.0
bigbench_pt_formal_fallacies_syllogisms_negation_greedy,300,0,0.0,0.4825886673728625,0.0,0.0,0.0
bigbench_pt_general_knowledge_greedy,14,0,0.0,0.4736474539552416,0.0,0.0,0.0
bigbench_pt_mathematical_induction_greedy,68,0,0.0,0.48476843316765394,0.0,0.0,0.0
bigbench_pt_simple_ethical_questions_greedy,115,0,0.0,0.5143707824789959,0.0,0.0,0.0
bigbench_pt_social_iqa_greedy,300,0,0.0,0.5166634125510852,0.0,0.0,0.0
bigbench_pt_strategyqa_greedy,216,0,0.0,0.44359486563890066,0.0,0.0,0.0
bigbench_pt_vitaminc_fact_verification_greedy,300,0,0.0,0.4665691454211871,0.0,0.0,0.0
bluex_launch_version_,500,0,0.0,0.48982645958662036,0.0,0.0,0.0
broverbs_greedy,194,0,0.0,0.5363871694840107,0.0,0.0,0.0
broverbs_mc_greedy,27,0,0.0,0.4918390556618019,0.0,0.0,0.0
enem_2022_greedy,180,0,0.0,0.490440770983696,0.0,0.0,0.0
enem_greedy,180,0,0.0,0.4904407719771067,0.0,0.0,0.0
ethics_commonsense_greedy,216,0,0.0,0.5293819633898912,0.0,0.0,0.0
faquad_greedy,500,0,0.0,0.4596857948899269,0.0,0.0,0.0
gsm8k_mc_greedy,300,0,0.0,0.49617960234483083,0.0,0.0,0.0
inferbr_greedy,500,0,0.0,0.48508947491645815,0.0,0.0,0.0
logiqa_greedy,300,0,0.0,0.4844568627079328,0.0,0.0,0.0
math_mc_greedy,281,0,0.0,0.45201605802328987,0.0,0.0,0.0
mina_br_greedy,500,0,0.0,0.5344773464798928,0.0,0.0,0.0
mkqa_greedy,500,0,0.0,0.4205732620954514,0.0,0.0,0.0
pt_hate_speech_greedy,500,0,0.0,0.5183726827502251,0.0,0.0,0.0
repro_greedy,500,0,0.0,0.5084926535487175,0.0,0.0,0.0
storycloze_pt_greedy,500,0,0.0,0.5429446659684182,0.0,0.0,0.0
tweetsentbr_greedy,500,0,0.0,0.5139180775880814,0.0,0.0,0.0
wsc285_pt_greedy,285,0,0.0,0.5258105828050982,0.0,0.0,0.0
